X,date,count,event,semester,type,tag75,tag69,tag66,substitute_time,datetime,posix,weekday,year,semester_week,pred
884,2015-11-28,379,Thanksgiving Vacation,Fall,Dinner, cheese quesadilla; chicken taco filling; refried beef vegetarian black beans; tostitos; olives; cream; & lettuce; sour iceberg guacamole;, cheese quesadilla; chicken taco filling; iceberg lettuce; tostitos; sour black cream; corn beef, cheese quesadilla; chicken taco filling; iceberg lettuce; tostitos; sour black cream; corn beef,18:00:00,2015-11-28 18:00:00,2015-11-28 18:00:00,Saturday,2015,13,255.91795120725783
885,2015-11-29,173,Thanksgiving Vacation,Fall,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2015-11-29 8:00:00,2015-11-29 08:00:00,Sunday,2015,13,311.00924303356123
886,2015-11-29,476,Thanksgiving Vacation,Fall,Lunch, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,13:00:00,2015-11-29 13:00:00,2015-11-29 13:00:00,Sunday,2015,13,280.511041100656
887,2015-11-29,1018,Thanksgiving Vacation,Fall,Dinner, roasted lavender scalloped potato chicken; honey, roasted scalloped potato braised beef ale short ribs;, roasted scalloped potato braised beef ale short ribs;,18:00:00,2015-11-29 18:00:00,2015-11-29 18:00:00,Sunday,2015,13,444.8006830905772
888,2015-11-30,946,No Event,Fall,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2015-11-30 8:00:00,2015-11-30 08:00:00,Monday,2015,13,887.4759918540985
889,2015-11-30,916,No Event,Fall,Lunch, tortilla potato turkey sweet citrus aioli; arugula;, turkey arugula; aioli; citrus burger; potato sweet roll;, turkey arugula; aioli; citrus burger; potato sweet roll;,13:00:00,2015-11-30 13:00:00,2015-11-30 13:00:00,Monday,2015,13,842.871498970761
890,2015-11-30,1432,No Event,Fall,Dinner, roasted relish; mediterranean olive steak; flat iron seared salmon; grilled potatoes rosemary, roasted rosemary flat steamed snap steak; iron sugar, roasted steamed with broccoli rosemary red mashed,18:00:00,2015-11-30 18:00:00,2015-11-30 18:00:00,Monday,2015,13,1394.4433139125194
891,2015-12-01,860,No Event,Fall,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2015-12-01 8:00:00,2015-12-01 08:00:00,Tuesday,2015,13,872.9242906306813
892,2015-12-01,771,No Event,Fall,Lunch," shrimp quarter"" dip; po boy ""french"," shrimp dip; quarter"" boy ""french po"," shrimp dip; quarter"" boy ""french po",13:00:00,2015-12-01 13:00:00,2015-12-01 13:00:00,Tuesday,2015,13,849.6630138782407
893,2015-12-01,1393,No Event,Fall,Dinner, rice; crab rangoons; jasmine duck stir beef broccoli fry; with, rice; rangoons; crab duck jasmine broccoli beef stir with fry;, rice; rangoons; crab duck jasmine broccoli beef stir with fry;,18:00:00,2015-12-01 18:00:00,2015-12-01 18:00:00,Tuesday,2015,13,1374.54126313066
